barcode	name	batch	condition	strain.int	Glucose.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Xylose.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Pyruvate.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Xylitol.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Succinate.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Lactate.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Glycerol.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Formate.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Acetate.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Ethanol.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Cellobiose.Avg.g.L..x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Glucose_consumed.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Percent_glucose_consumed.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Percent_yield.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x	Blank_glucose.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x
50	I0035583	20200303-t-38	20200303	t	38	0	0	0	0	0	0.1298575264	0.3111021216	0.7544459693	0.15414439948	5.1783352622	0	21.9903440128	100	46.0386158086041	21.9903440128
51	I0035588	20190916-f-52	20190916	f	52	0	0.211525163066667	0	0	0	0.161013496	0.3281175909	0.8391080277	0	3.2909975504	0	22.4698008181333	100	28.6346878296456	22.4698008181333
52	I0035589	20190924-f-75	20190924	f	75	0.614489728	0	0	0.12193436878	0	0.1278784688	0.2984379048	0.7295865472	1.62660433688	0.0509529593	0	20.074751376	97.0299068732821	0.496230385450953	20.689241104
53	I0035596	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	3.5525194338	0	22.0936135264	100	31.4364738269751	22.0936135264
54	I0035605	20190924-t-82	20190924	t	82	4.2637404256	0	0	0	0.0197434671	0.128309952	0.2952875059	0.8021256845	0.08358681948	3.7939925746	0	16.4255006784	79.391508832213	45.1587567054634	20.689241104
55	I0035615	20200309-f-28	20200309	f	28	22.4315990912	0.0567371296	0	0.02070554914	0.0006801984	0	0	0	0.00601126964	0	0.018398436875	0.464650656	2.02937450949504	0	22.8962497472
56	I0035617	20190924-t-74	20190924	t	74	9.9948318048	0	0	0.0306345971	0	0.1283342736	0.2925717718	0.7201683489	0.3210281324	1.2351795451	0	10.6944092992	51.6906794475529	22.5807002660082	20.689241104
57	I0035618	20190930-f-93	20190930	f	93	3.76315925973333	0	0.217941748733333	0	0	0.135235602666667	0.613884525633333	0	0	3.5448510823	0	18.4864722261333	83.08664454904	37.4893636958494	22.2496314858667
58	I0035621	NA-f-42	NA	f	42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59	I0035625	20200117-t-21	20200117	t	21	22.4925868544	0	0	0	0	0.1283063488	0.2934005818	0.726265943	0	0.0457774555	0	0.913928259200002	3.90458919136142	9.79272726992297	23.4065151136
60	I0035631	NA	NA	NA	NA	0.7648656768	0	0	0	0	0.1273704176	0.2948657337	0.7317854003	0	0.2291448088	0	10.9227927264	93.4557834391311	4.10147857204502	11.6876584032
61	I0035635	20191007-t-112	20191007	t	112	0	0	0	0	0	0	0	0	0.41690496048	4.5797500557	0	22.0936135264	100	40.5265039200926	22.0936135264
62	I0035639	20190916-f-46	20190916	f	46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
63	I0035641	NA-f-45	NA	f	45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
64	I0035642	20191014-f-141	20191014	f	141	0	0	0	0	0	0	0.0519921722	0	0.48015643592	3.9306564654	0	22.0103327648	100	34.9142403002792	22.0103327648
65	I0035645	20190924-f-67	20190924	f	67	8.8385306944	0	1.9454937292	0	0	0.2761006048	0.5599200926	0	0	0.2773335681	0	11.8507104096	57.2795800002003	4.57532733127354	20.689241104
66	I0035646	20191007-t-102	20191007	t	102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
67	I0035652	20190924-f-78	20190924	f	78	3.5410159744	0	0.040274241	0.42188260048	0	0.1358325328	0.5609874157	0	0	0.9891196751	0	17.1482251296	82.8847469242582	11.277005201297	20.689241104
68	I0035654	NA	NA	NA	NA	0	0.2654418504	0	0	0	0.1306123968	0.3899854947	0	0.53707485192	3.7146807661	0	11.5764708576	100	62.7349318846382	11.5764708576
69	I0035664	20200106-t-7	20200106	t	7	10.7474610144	0.375370039	0	0	0	0.1275821056	0.5232507755	0	0	0.2062991565	0	12.3671030176	53.5035097373192	3.26132132565815	23.114564032
70	I0035665	20200106-f-8	20200106	f	8	22.623195648	0	0	0	0	0.127364112	0.294402521	0	0	0.0705852291	0	0.491368384000001	2.12579559501856	28.0847612209261	23.114564032
71	I0035668	20191014-t-125	20191014	t	125	0	0	0	0	0	0	0	0.1147182675	0	3.3569131243	0	22.0103327648	100	29.8179381792003	22.0103327648
72	I0035676	20190930-f-89	20190930	f	89	8.8468703008	0	0	0	0	0.1461034544	1.52432739916667	0	0.167086057026667	4.46504619823333	0	13.4027611850667	60.2381266115815	65.1322069291723	22.2496314858667
73	I0035677	20191014-f-96	20191014	f	96	7.687481248	0	0	0	0	0	0.4284174144	0	0	1.6974597461	0	14.3228515168	65.0733074772309	23.1704309283353	22.0103327648
74	I0035685	20191007-f-108	20191007	f	108	8.1663807584	0	1.2924319632	0	0	0	0	0	0	0	0.030789570175	13.927232768	63.0373693798804	0	22.0936135264
75	I0035686	NA	NA	NA	NA	0	0.2297979858	0	0	0	0.127481216	0.2931335208	0.7196196713	0	0.045208491	0	11.5764708576	100	0.763498072129068	11.5764708576
76	I0035688	NA	NA	NA	NA	0	0.2486347969	0	0	0	0.1358694656	0.2937707836	0.7193071276	0	1.3818194337	0	11.5764708576	100	23.3366885362405	11.5764708576
77	I0035690	20191007-t-116	20191007	t	116	0	0	0	0	0	0	0	0	0	3.3167640407	0	22.0936135264	100	29.3502591326254	22.0936135264
78	I0035691	20190924-t-76	20190924	t	76	0	0.2020419514	0	0	0	0.1588614848	0.3678433751	0	0	4.2164254505	0	20.689241104	100	39.8440963712877	20.689241104
79	I0035696	NA-f-123	NA	f	123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
80	I0035697	20200117-f-30	20200117	f	30	20.9827325536	0	0	0	0	0.127422664	0.2925321731	0.72142819	0	0.0449454313	0	2.42378256	10.355162006119	3.62540068583216	23.4065151136
81	I0035698	NA	NA	NA	NA	0.782732144	0	0	0	0	0.1314429344	0.3570080657	0	0.62001277784	2.4710561293	0	10.7937387136	93.2385944418792	44.7584281242092	11.5764708576
82	I0035699	20200117-f-21	20200117	f	21	21.6900947616	0	0	0	0	0.1277073168	0.2921849938	0.7190231225	0	0.0509852083	0	1.716420352	7.33308800421426	5.80743903029055	23.4065151136
83	I0035701	20190930-f-100	20190930	f	100	0	0.255574305933333	0	0	0	0.163324648533333	0.422096663766667	0.793037674733333	0	5.77938920643333	0	22.2496314858667	100	50.7835710471714	22.2496314858667
84	I0035709	20190924-t-80	20190924	t	80	11.5956596992	0	0	0	0	0	0.5840135993	0.721580089	0	0.9174600936	0	9.0935814048	43.9531897718659	19.7249695110335	20.689241104
85	I0035711	20191007-t-108	20191007	t	108	6.2207662592	0	0.568440509	0	0	0	0	0	1.66583021828	1.9708446545	0.02200966495	15.8728472672	71.8435997272845	24.2751360667873	22.0936135264
86	I0035712	20190924-f-71	20190924	f	71	1.4782344192	0.1952785949	0	0.94495750556	0	0.1273974416	0.7189107149	0	0	0.0499200699	0	19.2110066848	92.8550573132709	0.508029788658506	20.689241104
87	I0035716	20191007-t-103	20191007	t	103	5.1407376864	0	0.1769424804	0	0	0	0	0	2.15586825804	1.0606424287	0.023245355315	16.95287584	76.732019503024	12.2317819723868	22.0936135264
88	I0035722	20190916-f-56	20190916	f	56	0	0.178226329066667	0	0	0	0.127468905066667	0.329350676	0	0	0.858889766933333	0	22.4698008181333	100	7.47312630276002	22.4698008181333
