barcode	name	batch	condition	strain int	Glucose.Avg.g.L.	Xylose.Avg.g.L.	Pyruvate.Avg.g.L.	Xylitol.Avg.g.L.	Succinate.Avg.g.L.	Lactate.Avg.g.L.	Glycerol.Avg.g.L.	Formate.Avg.g.L.	Acetate.Avg.g.L.	Ethanol.Avg.g.L.	Cellobiose.Avg.g.L.	Glucose_consumed	Percent_glucose_consumed	Percent_yield	Blank_glucose
I0043706	20191224-f-309	20191224	f	309	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043566	20200303-t-310	20200303	t	310	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0044035	20200303-f-310	20200303	f	310	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043897	NA-t-311	NA	t	311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043908	NA-f-311	NA	f	311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0044057	20191230-t-312	20191230	t	312	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043929	20191230-f-312	20191230	f	312	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043725	20191230-t-313	20191230	t	313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043818	20191230-f-313	20191230	f	313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0044068	20191230-t-314	20191230	t	314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043950	20191230-f-314	20191230	f	314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0044089	NA-t-315	NA	t	315	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043909	NA-f-315	NA	f	315	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0044207	NA-t-316	NA	t	316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043938	NA-f-316	NA	f	316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043811	20191230-t-317	20191230	t	317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043946	20191230-f-317	20191230	f	317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043894	20191230-t-318	20191230	t	318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043849	20191230-f-318	20191230	f	318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043959	20191230-t-319	20191230	t	319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043740	20191230-f-319	20191230	f	319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043977	20191230-t-320	20191230	t	320	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0044048	20191230-f-320	20191230	f	320	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043910	NA-t-321	NA	t	321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043949	NA-f-321	NA	f	321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043435	20191230-t-322	20191230	t	322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0044014	20191230-f-322	20191230	f	322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0044029	20191230-t-323	20191230	t	323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043430	20191230-f-323	20191230	f	323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0044031	20191230-t-324	20191230	t	324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043913	20191230-f-324	20191230	f	324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043728	20191230-t-325	20191230	t	325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0044061	20191230-f-325	20191230	f	325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043754	20191230-t-326	20191230	t	326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043889	20191230-f-326	20191230	f	326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0044219	NA-t-327	NA	t	327	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043793	NA-f-327	NA	f	327	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043695	20200303-t-328	20200303	t	328	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043880	20200303-f-328	20200303	f	328	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043902	20191230-t-329	20191230	t	329	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043718	20191230-f-329	20191230	f	329	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043775	20191230-t-330	20191230	t	330	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043991	20191230-f-330	20191230	f	330	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043858	20191230-t-331	20191230	t	331	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043813	20191230-f-331	20191230	f	331	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043973	20191230-t-332	20191230	t	332	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0044007	20191230-f-332	20191230	f	332	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043996	20191230-t-333	20191230	t	333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043867	20191230-f-333	20191230	f	333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043985	20191230-t-334	20191230	t	334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I0043969	20191230-f-334	20191230	f	334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
