"barcode"	"name"	"batch"	"condition"	"strain.int"	"Glucose.Avg.g.L."	"Xylose.Avg.g.L."	"Pyruvate.Avg.g.L."	"Xylitol.Avg.g.L."	"Succinate.Avg.g.L."	"Lactate.Avg.g.L."	"Glycerol.Avg.g.L."	"Formate.Avg.g.L."	"Acetate.Avg.g.L."	"Ethanol.Avg.g.L."	"Cellobiose.Avg.g.L."	"Glucose_consumed"	"Percent_glucose_consumed"	"Percent_yield"	"Blank_glucose"
"545"	"I0043863"	"20191216-t-287"	20191216	"t"	287	21.0829681728	0	0	0	0	0.1283351744	0.3018083988	0.719315413	0.18439854508	0.4369486115	0	2.4764721536	10.5115916137657	34.4953877575784	23.5594403264
"460"	"I0043673"	"20191224-t-295"	20191224	"t"	295	19.9143765472	0	0	0	0	0.12762084	0.5664805842	0	0	1.0006984482	0	2.405730528	10.7783108741132	81.3243055706556	22.3201070752
"226"	"I0037525"	"20191007-t-114"	20191007	"t"	114	19.4465983136	0	0	0	0	0	0	0	0.27522238764	0.2505963829	0	2.6470152128	11.9809066526716	18.5089796251553	22.0936135264
"534"	"I0043836"	"20191216-t-289"	20191216	"t"	289	20.6341427712	0	0	0	0	0	0.4734687633	0.7285669827	0	0.916539615	0	2.9252975552	12.4166682852903	61.2555310415221	23.5594403264
"95"	"I0035746"	"20191014-t-96"	20191014	"t"	96	19.1059788096	0	0	0	0	0	0.1037937181	0	0	0	0	2.9043539552	13.1954113835334	0	22.0103327648
"633"	"I0044014"	"NA-f-322"	NA	"f"	322	20.4283099712	0	0	0	0	0.1282144672	0.2929981485	0.7248100141	0	0.0473705561	0	3.1089904928	13.2087810900624	2.97888135118698	23.537300464
"566"	"I0043894"	"NA-t-318"	NA	"t"	318	20.3885378496	0	0	0	0	0.1291404896	0.3248483959	0.7223538533	0	0.4866922333	0	3.1487626144	13.3777559547068	30.2188972449274	23.537300464
"23"	"I0035404"	"20200106-t-9"	20200106	"t"	9	19.9166015232	0	0	0	0	0.1273803264	0.292551512	0	0	0.0637553516	0	3.1979625088	13.8352707166474	3.89769088667697	23.114564032
"220"	"I0037498"	"20200106-t-3"	20200106	"t"	3	19.8080911552	0	0	0	0	0.1275694944	0.2963299647	0	0	0.0585793871	0	3.3064728768	14.3047165943623	3.46372955600823	23.114564032
"525"	"I0043814"	"20191119-t-248"	20191119	"t"	248	9.7141713504	0	0	0	0	0	0	0	0	0.0494022431	0	1.946412608	16.6922395563033	4.96221841215807	11.6605839584
